alert_key,date,cust_id,risk_rank,occupation_code,total_asset,AGE,tw,n_tw,ntd,n_ntd,amt
352693,365,6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,1.0,12.0,1705196.0,3.0,1.0,0.0,1.0,0.0,51342.0
352715,365,f639713136b62556a72db5f4732cedc8340da74ba3df8ea30cdead73d816da6e,1.0,18.0,163630.0,2.0,2.0,0.0,2.0,0.0,2228.0
352298,365,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3.0,12.0,2422.0,4.0,2.0,0.0,2.0,0.0,327.0
352343,365,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1.0,12.0,106656.0,3.0,1.0,0.0,1.0,0.0,30.0
352886,365,5deb26d41f21535fe62ba7b458c8a1c19aa2c449c19b58e57f517d00eb27087e,1.0,12.0,904.0,2.0,2.0,1.0,3.0,0.0,102972.0
352872,365,0cda333980decc8bad60985c8420e3e36577163306c3c78c12b624284766bc50,1.0,4.0,2632963.0,4.0,1.0,0.0,1.0,0.0,949.0
352654,365,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1.0,18.0,171726.0,6.0,7.0,0.0,7.0,0.0,50444.0
352493,365,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1.0,12.0,324044.0,3.0,50.0,0.0,50.0,0.0,84893.0
352332,365,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1.0,12.0,296610.0,3.0,4.0,0.0,4.0,0.0,87965.0
352507,365,9902a46bcfe42b58e06b209a02d1131e47966a60187f787892eaf38116f70c8b,1.0,18.0,161909.0,3.0,1.0,0.0,1.0,0.0,1612.0
352501,365,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1.0,3.0,96316.0,3.0,2.0,0.0,2.0,0.0,10139.0
352660,365,da500130fbe4a29397af9a08e1dfdc2b646309a669d1b2796b2f28e5931b38d9,1.0,17.0,158772.0,5.0,1.0,0.0,1.0,0.0,405.0
