alert_key,date,sar_flag,cust_id,risk_rank,occupation_code,total_asset,AGE,debit,credit,tx_type1,tx_type2,tx_type3,n_cross_bank,cross_bank,n_ATM,ATM,amt
171189,0,0,972ee157e63316e8a50dd489bc93730a3ee8a8959d5c6b7f9742ee5caba62cb8,1.0,17.0,375576.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,1515.0
171202,0,0,a10ab33f90926fb18d7bb5e78034d7f04a1fbed95b7951eae08d57158323de9a,3.0,12.0,2717416.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,209202.0
171599,0,0,3433ecc068ed1c9e2f5037cab5d42d7b901e9bd624c1fbe15fd0b422749e41b9,1.0,12.0,326517.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,310593.0
171737,0,0,a0861608615a9365d90f4ba0a813c0ea0471987f925c8ba0b81d6356af5c2b2f,3.0,14.0,1014759.0,4.0,0.0,10.0,1.0,9.0,0.0,10.0,0.0,1.0,9.0,43125.0
171142,0,0,a39fea9aec90969fe66a2b2b4d1b86368a2d38e8b8d4bfeb016d17b16f37a8d8,3.0,12.0,241719.0,3.0,57.0,3.0,0.0,60.0,0.0,42.0,18.0,0.0,60.0,296344.0
171178,0,0,1a3efa69705f611c7ef2384a715c8142e2ee801cfec9df4eb21131c33fc247a7,3.0,9.0,3634343.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,3190.0
171377,0,0,39ca3b25ccd31919fd22559e1f7f10bed1d22f1b96f13ac8538c677bbc72480e,3.0,14.0,1022596.0,2.0,2.0,4.0,3.0,3.0,0.0,4.0,2.0,0.0,6.0,920776.0
171207,0,0,43ca84051796dcbb9ad40a9660df4bd757b1d382352bc0d8dfa08293f749ebd9,1.0,19.0,358135.0,3.0,6.0,3.0,8.0,1.0,0.0,9.0,0.0,1.0,8.0,1725271.0
171197,0,0,36a340a7b16178420c059491e3a9045b123744479d75d1d4e95e3cf1703ca055,3.0,12.0,1759966.0,3.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0,13185.0
171180,0,0,67f8cbb64dd3d447e992b1b299e0ceed3372188e47c88e213b16abaedf6af700,1.0,17.0,4076287.0,4.0,10.0,11.0,0.0,21.0,0.0,21.0,0.0,0.0,21.0,9399594.0
171751,0,0,9a1b8b6f1e57ba6b7c61bfbd898e9b115c3a8df02819c47947ca76f2c64b1b5d,3.0,9.0,103230.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,0.0,5.0,22910.0
171586,0,0,9d5991f491b1f1a9fd7410fc1aeb3bd09e3fdd84d8fe950053274202332f188a,1.0,19.0,623999.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,6186013.0
171584,0,0,ad09177963d7dffdef4714eb7b25e31c20ae86c046d1e9cfea6597ae5f264f32,1.0,17.0,82076.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,303245.0
171616,0,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,3.0,5.0,167773.0,2.0,6.0,3.0,0.0,9.0,0.0,4.0,5.0,0.0,9.0,996.0
171375,0,0,4c9914b594bac26a921251f8f7c64f8088c73e57ecb6695b7434d73e5b86e26f,1.0,9.0,1629378.0,6.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,3.0,1288917.0
171593,0,0,099068a1a9b89fb02b364680ce043ab3f47b1abfe8c9f533e7da789f59d27656,1.0,12.0,210805.0,3.0,2.0,5.0,0.0,7.0,0.0,6.0,1.0,0.0,7.0,1218245.0
171451,0,0,627c092139950602628fa87c7a27bd8679950adccfa4c9c9cd21e910963c13ff,1.0,19.0,9560101.0,6.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,19712.0
