alert_key,date,cust_id,risk_rank,occupation_code,total_asset,AGE,debit,credit,tx_type1,tx_type2,tx_type3,n_cross_bank,cross_bank,n_ATM,ATM,amt
352342,365,7629f010080267f680a4ca9c6cac71c4d4d86933dcc7ed2f3625fde2c161e9de,1.0,17.0,506366.0,3.0,2.0,5.0,0.0,7.0,0.0,6.0,1.0,1.0,6.0,116815.0
352696,365,c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,1.0,2.0,444392.0,3.0,4.0,3.0,0.0,7.0,0.0,7.0,0.0,3.0,4.0,35452.0
352330,365,96d70b798f211393cfbcb83a8acd19f3e8c9c5c205960a3a00bfe685ed6e7ab2,1.0,19.0,143930.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10267.0
352683,365,40fa92acb89d1ebb319f0f200d31a5fcbdfcbd8ad432d732a880545a69f2c5e8,3.0,17.0,2112.0,2.0,3.0,4.0,0.0,7.0,0.0,5.0,2.0,0.0,7.0,16742.0
352658,365,2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,3.0,19.0,344441.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1027252.0
352691,365,5c8203758d604e065e40f5192d41077acdb92b1121bd5358436411be10072351,3.0,12.0,848586.0,2.0,12.0,3.0,1.0,14.0,0.0,6.0,9.0,1.0,14.0,3337650.0
352558,365,609ca842d3c873f3606404f8741eec8d7fbdfeef00e80bd64e92f85132352eef,3.0,19.0,1302688.0,6.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,739770.0
352685,365,4dfeca8a959845f1ed0a40340b8c53525bb477c5c37a7068d6383515d211c881,1.0,10.0,409561.0,4.0,1.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,7303.0
352249,365,82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,1.0,19.0,1465816.0,7.0,12.0,12.0,0.0,24.0,0.0,24.0,0.0,0.0,24.0,579496.0
352857,365,d5ad9439b75f1ee66f9d828f04d19055adcfe25df1d9be37b5dd0352a43de20f,1.0,19.0,3522151.0,5.0,9.0,1.0,0.0,10.0,0.0,9.0,1.0,9.0,1.0,164143.0
352557,365,405115a569295213328a887110c5c5b705069402361a3057ba68f7159c097861,3.0,19.0,187325.0,6.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,318234.0
352309,365,8a8a3d19fbce6501b156018ffcf902470d07070bc55f69a3bd0c4c76be6b670a,1.0,9.0,4826766.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,288755.0
352344,365,33ff49ea8a07c6d1b7cc203dcc3638ebde62dfb960a1697c8e5a55dffefc1cb6,1.0,9.0,367478.0,3.0,3.0,3.0,0.0,6.0,0.0,5.0,1.0,0.0,6.0,18988.0
352693,365,6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,1.0,12.0,1705196.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60040.0
352298,365,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3.0,12.0,2422.0,4.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,11604.0
352859,365,4daa04cc24d827fe8bca0ab268bba06b8aeffcf8c5c1217d87654d5d4c8ed4ea,1.0,14.0,975.0,5.0,11.0,3.0,0.0,14.0,0.0,5.0,9.0,1.0,13.0,243625.0
352700,365,823fc5ce48cd827628ce0d1c574e6c3582cb772cf6173a9384df22d56bb72f0c,1.0,17.0,114439.0,2.0,3.0,3.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,1917136.0
352316,365,7dc5256ef411c745dc3064da2f231c104ca270f564d3d0d057943f0cdd62ab70,1.0,9.0,332834.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,250212.0
352329,365,b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,1.0,17.0,20632.0,2.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,4.0,85217.0
352343,365,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1.0,12.0,106656.0,3.0,7.0,6.0,0.0,13.0,0.0,8.0,5.0,0.0,13.0,8009326.0
352880,365,fe69b536bfc0589e8198533243f08b2b9401bc352039f97472c39ca0f1536fa5,1.0,12.0,835448.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,2363.0
352886,365,5deb26d41f21535fe62ba7b458c8a1c19aa2c449c19b58e57f517d00eb27087e,1.0,12.0,904.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1046.0
352651,365,9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,3.0,3.0,262604.0,6.0,1.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,4.0,51230.0
352494,365,2dc131115c513102b4c5c2facb90e9e21bf6e1bb946cfc0f8e7eca0573654742,1.0,17.0,3029925.0,4.0,19.0,13.0,3.0,29.0,0.0,15.0,17.0,14.0,18.0,298212.0
352699,365,af44e752f63f8e447bc6fdac56d364a2f22eabbdbbefc4e3573905618f811eb8,1.0,15.0,242106.0,4.0,2.0,3.0,0.0,5.0,0.0,4.0,1.0,0.0,5.0,3429.0
352816,365,f61ff14376ea694229a8ea2f9f5237294c1ee97d9312a01c11df8971acf0c5ea,1.0,5.0,7883.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,593574.0
352253,365,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1.0,2.0,98177.0,2.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,1682480.0
352280,365,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3.0,15.0,201906.0,5.0,6.0,7.0,0.0,13.0,0.0,10.0,3.0,0.0,13.0,261027.0
352497,365,54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,1.0,18.0,718481.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,541297.0
352870,365,990e17732f5f106f7b50ece595f072fe48214dbb210176457e8d8602c9953d72,1.0,17.0,228.0,3.0,1.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,396679.0
352872,365,0cda333980decc8bad60985c8420e3e36577163306c3c78c12b624284766bc50,1.0,4.0,2632963.0,4.0,38.0,13.0,1.0,50.0,0.0,51.0,0.0,51.0,0.0,3320952.0
352487,365,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1.0,18.0,58111.0,3.0,3.0,1.0,0.0,4.0,0.0,3.0,1.0,2.0,2.0,240139.0
352654,365,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1.0,18.0,171726.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,17015.0
352493,365,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1.0,12.0,324044.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0
352282,365,0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,1.0,12.0,7450.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10474.0
352858,365,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3.0,14.0,1441976.0,4.0,48.0,1.0,1.0,48.0,0.0,15.0,34.0,2.0,47.0,281457.0
352337,365,ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,2.0,17.0,41066.0,3.0,9.0,4.0,0.0,13.0,0.0,10.0,3.0,0.0,13.0,51602.0
352704,365,d416d6741710614ecf374202e7a0656dff8625efe57d6b2727d001b4e29ba532,1.0,12.0,1402359.0,2.0,5.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,6.0,564225.0
352874,365,462b0f3ea421c13cca6494f85b0f625dba44dae33a728544680d7e2212e92d8a,3.0,17.0,554705.0,3.0,5.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,24076.0
352522,365,bfdb5c0d7da77d3c0d065559d0af7aada44bf33a176681fc19a12fbaa3507f0b,1.0,12.0,41872.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,300.0
352331,365,4d518f1d8149b57c5d56855d1bac3c0462f4f090a7b4b6fb7951afdf5816c921,1.0,5.0,729497.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,74735.0
352480,365,ac8a804f8a4be16875f59b941a5cca38a6a92313538c82898fab347db054e286,1.0,17.0,7658.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,300133.0
352320,365,3513b38b20fd02573807e4a414ed7341e3bd0844fc525d5294adae63e5c61af2,3.0,19.0,567379.0,3.0,5.0,3.0,0.0,8.0,0.0,7.0,1.0,0.0,8.0,12989.0
352476,365,d6d7cc8f5036ae0121dbeacf67b216f757b2ab86fb93184eec6f8261c092270a,1.0,9.0,4197550.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0
352254,365,e5b0002791c7852644a2730abeaa893cdf14a072ef78120275815edbd596cec0,1.0,19.0,2052922.0,7.0,9.0,4.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,1394017.0
352492,365,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3.0,1.0,2169802.0,2.0,4.0,4.0,0.0,8.0,0.0,6.0,2.0,0.0,8.0,11428.0
352332,365,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1.0,12.0,296610.0,3.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,2.0,5.0,318.0
352877,365,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3.0,13.0,309683.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,954.0
352488,365,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3.0,19.0,1415448.0,3.0,15.0,5.0,0.0,20.0,0.0,6.0,14.0,0.0,20.0,30686.0
352301,365,2bd91e5810e781477888dc1d478fe7eaed138acc84bd5e693ad0c5f5be4c6e4b,1.0,19.0,2536600.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2647.0
352503,365,158f652568e23e7e4a8e1c7cbf8c8987d53f23049a1e076f0dc30a993e979382,1.0,13.0,1666968.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1847.0
352888,365,49f3128a76c44b29d9de1e3e41185cb2f091c3762501e080795c2bb2f8c49622,3.0,19.0,1758714.0,2.0,69.0,6.0,5.0,70.0,0.0,12.0,63.0,3.0,72.0,7967192.0
352465,365,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3.0,15.0,226357.0,5.0,6.0,5.0,2.0,9.0,0.0,10.0,1.0,0.0,11.0,11999723.0
352684,365,85560737ffda7254ba16b71e4c5b519b85a51942ab02c69ca358f1d4d8f83acc,3.0,17.0,461707.0,3.0,6.0,5.0,0.0,11.0,0.0,8.0,3.0,0.0,11.0,113774.0
352302,365,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1.0,17.0,173255.0,4.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,30066.0
352501,365,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1.0,3.0,96316.0,3.0,2.0,7.0,1.0,8.0,0.0,7.0,2.0,0.0,9.0,6968971.0
352660,365,da500130fbe4a29397af9a08e1dfdc2b646309a669d1b2796b2f28e5931b38d9,1.0,17.0,158772.0,5.0,2.0,5.0,0.0,7.0,0.0,7.0,0.0,4.0,3.0,1402150.0
352495,365,102e3ba50d2b335b71e881df9ef5fea70124a240e8b15c5a4c5c3eabac4605d1,3.0,14.0,927014.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1547148.0
352871,365,bdda3ef79c5f052fd281c9f28f50a25977444eceaf9751e4595fcb6099a48ea0,3.0,19.0,2390889.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,105699.0
352710,365,ffe5f2bd86ecfd7d0a0f4c4b76dd5c312649be95eb8b42dd8089cffc788b4a9e,3.0,19.0,21647.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,13094.0
352508,365,63e2e1fa88378fa90d85547fe108eeee5045ba3252911f145a351b7b7661e3ea,1.0,12.0,59830.0,3.0,2.0,4.0,0.0,6.0,0.0,6.0,0.0,2.0,4.0,549051.0
352305,365,870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,3.0,12.0,876408.0,3.0,8.0,5.0,0.0,13.0,0.0,9.0,4.0,0.0,13.0,545143.0
352291,365,83440058abcf5206ec03fd81ee3c0c943a33d1ab455a4631d1c52c80b2b3ad1d,1.0,17.0,182242.0,5.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,225453.0
352470,365,d253f77ce816406296362e15aa64888080acc551e9c596098d9c78ffe52956a9,3.0,19.0,1889815.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,61544.0
352670,365,05d16120e622640438421a39564db6eedc105f0e343435ac445f72ddfb6c386b,1.0,17.0,2384805.0,5.0,17.0,2.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,530688.0
352865,365,20198b84c0b319c0e9e16ed178194e0c7ebed40e4b8fabfcd7687f178e684d23,3.0,9.0,2144675.0,4.0,4.0,5.0,0.0,9.0,0.0,8.0,1.0,0.0,9.0,764901.0
357209,370,82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,1.0,19.0,1465816.0,7.0,10.0,11.0,0.0,21.0,0.0,21.0,0.0,0.0,21.0,550492.0
357699,370,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3.0,1.0,2169802.0,2.0,4.0,3.0,0.0,7.0,0.0,5.0,2.0,0.0,7.0,10161.0
357870,370,fb832de21bafdfae18e043fa51952a719900b74b51924d48d5079fb64c690882,1.0,18.0,601139.0,5.0,8.0,8.0,7.0,9.0,0.0,15.0,1.0,1.0,15.0,19227661.0
357294,370,957d5902a36a5fe451647082dbb6e304ff545696857a23a4afce9a3df55c8e07,1.0,9.0,725369.0,5.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,127637.0
357448,370,6e837c07fc751f0971de57ff8df11c0cbbd59941fe22444fd9d5b36f7b1d3bd1,1.0,12.0,1915833.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1714.0
357892,370,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3.0,13.0,309683.0,2.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,4.0,0.0,713.0
357288,370,c32c123ce18c615db65347055b82fe319bd342da9507044c09e886e9482f9729,1.0,12.0,455159.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,5538.0
