alert_key,date,sar_flag,cust_id,risk_rank,occupation_code,total_asset,AGE,trans_no1,trans_no2,trans_no3,trans_no4,trans_no5,trade_amount_usd
171616,0,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,3.0,5.0,167773.0,2.0,1.0,0.0,0.0,0.0,0.0,13370.0
171790,0,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,1.0,1.0,1279030.0,2.0,1.0,0.0,0.0,0.0,0.0,70693.0
171379,0,0,04b4dab6fac263b0c917eea00669abeb0fda70796c18c0f51a7c7321e990927c,2.0,12.0,422103.0,3.0,1.0,0.0,0.0,0.0,0.0,12149.0
171371,0,0,270d4e5a6bc68ead954394fc9394fa36f01a5bb258ac9fa9a581ce8957b310ae,3.0,19.0,944697.0,5.0,0.0,0.0,0.0,0.0,1.0,90800.0
171741,0,0,2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,3.0,19.0,318411.0,5.0,0.0,0.0,0.0,1.0,0.0,11008.0
171446,0,0,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3.0,17.0,24379.0,3.0,1.0,0.0,0.0,0.0,0.0,15524.0
171598,0,0,661f075141af9d9fb9386b9daec8a869213a1e60ef8c46ab895ed958e560445c,1.0,4.0,154807.0,3.0,1.0,0.0,0.0,0.0,0.0,33597.0
171367,0,0,fa81ef21a193bae90d014d04235a71e7dda88c5bfa6597b5158bbc746e7ae3f4,1.0,12.0,1093612.0,5.0,1.0,0.0,0.0,0.0,0.0,6187.0
172055,5,0,5af5081850be4cfd36d8b7f86922263acdd6964197d2cdecdebfdb3ee9badc3c,3.0,19.0,3892.0,3.0,1.0,0.0,0.0,0.0,0.0,10110.0
172237,5,0,04b4dab6fac263b0c917eea00669abeb0fda70796c18c0f51a7c7321e990927c,2.0,12.0,422103.0,3.0,1.0,0.0,0.0,0.0,0.0,12449.0
172261,5,0,852a20ec5560935d3f2e3381c1a077a6bc0a4012b13b255ba0ff2a660d150860,3.0,19.0,295743.0,3.0,1.0,0.0,0.0,0.0,0.0,11859.0
172674,5,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,1.0,1.0,1279030.0,2.0,1.0,0.0,0.0,0.0,0.0,68998.0
172377,5,0,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3.0,17.0,24379.0,3.0,1.0,0.0,0.0,0.0,0.0,17669.0
172507,5,0,661f075141af9d9fb9386b9daec8a869213a1e60ef8c46ab895ed958e560445c,1.0,4.0,154807.0,3.0,1.0,0.0,0.0,0.0,0.0,35426.0
172061,5,0,1e598f26a41d0d72d6dbf0687dea8b20b6daf55dcb6de44f0c1fcbd71f3c4a85,2.0,19.0,77342.0,2.0,1.0,0.0,0.0,0.0,0.0,3179.0
172635,5,0,7f78ca0c12033613150f22f44e1b99136d2bae757c6de6e220b399c32cc19113,1.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,9673.0
172384,5,0,79c0f12d366bd5586cceed25f94f366d57cfbe2d59e4c3d6c7a04e3d07be8c97,1.0,4.0,35829293.0,7.0,1.0,0.0,0.0,0.0,0.0,17837.0
172529,5,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,3.0,5.0,167773.0,2.0,1.0,0.0,0.0,0.0,0.0,25048.0
172219,5,0,270d4e5a6bc68ead954394fc9394fa36f01a5bb258ac9fa9a581ce8957b310ae,3.0,19.0,944697.0,5.0,0.0,0.0,0.0,0.0,1.0,312756.0
172943,6,0,196d8720ded07e7f8f7f457ce45cb712bcecb86084bebcc1696d4356c1451b63,3.0,12.0,348147.0,2.0,0.0,0.0,0.0,0.0,1.0,6474.0
172947,6,0,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1.0,18.0,52869.0,3.0,1.0,0.0,0.0,0.0,0.0,55126.0
173997,6,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,1.0,1.0,1279030.0,2.0,1.0,0.0,0.0,0.0,0.0,106354.0
173905,6,0,3ed1315c2d035d191ecd6a514869f8a56c85847428f5d9c344e64b29e14edbdb,3.0,19.0,246675.0,4.0,1.0,0.0,0.0,0.0,0.0,12435.0
172918,6,0,04b4dab6fac263b0c917eea00669abeb0fda70796c18c0f51a7c7321e990927c,2.0,12.0,422103.0,3.0,1.0,0.0,0.0,0.0,0.0,12451.0
173619,6,0,661f075141af9d9fb9386b9daec8a869213a1e60ef8c46ab895ed958e560445c,1.0,4.0,154807.0,3.0,1.0,0.0,0.0,0.0,0.0,35452.0
172898,6,0,fa81ef21a193bae90d014d04235a71e7dda88c5bfa6597b5158bbc746e7ae3f4,1.0,12.0,1093612.0,5.0,1.0,0.0,0.0,0.0,0.0,6221.0
173300,6,0,7f69fa9eab8f397d367e2bb61ee1fa008999a0aab91e061e8f4bfe25fb35807d,3.0,17.0,1186549.0,3.0,1.0,0.0,0.0,0.0,0.0,17280.0
172956,6,0,fc1aafb339fe738595a0570a2b1b4daa40690765df7f02f6a302c3e063ee8227,1.0,13.0,1993327.0,3.0,0.0,0.0,0.0,1.0,0.0,69573.0
172905,6,0,270d4e5a6bc68ead954394fc9394fa36f01a5bb258ac9fa9a581ce8957b310ae,3.0,19.0,944697.0,5.0,0.0,0.0,0.0,0.0,1.0,332934.0
173641,6,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,3.0,5.0,167773.0,2.0,1.0,0.0,0.0,0.0,0.0,14139.0
174531,7,0,ef27d68e129d9830ece843998cf84e248c722029f0290fa935ed84de5c32609e,1.0,19.0,1053144.0,6.0,1.0,0.0,0.0,0.0,0.0,24907.0
174346,7,0,c93dbda1ee94ea83accb88a5d5703419f02d1f34396d3a2e0335607760173912,1.0,17.0,494037.0,3.0,1.0,0.0,0.0,0.0,0.0,3166.0
174234,7,0,270d4e5a6bc68ead954394fc9394fa36f01a5bb258ac9fa9a581ce8957b310ae,3.0,19.0,944697.0,5.0,0.0,0.0,0.0,0.0,1.0,332934.0
174253,7,0,196d8720ded07e7f8f7f457ce45cb712bcecb86084bebcc1696d4356c1451b63,3.0,12.0,348147.0,2.0,0.0,0.0,0.0,0.0,1.0,6022.0
174694,7,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,3.0,1.0,1279030.0,2.0,1.0,0.0,0.0,0.0,0.0,223424.0
174492,7,0,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3.0,17.0,24379.0,3.0,1.0,0.0,0.0,0.0,0.0,17843.0
174231,7,0,fa81ef21a193bae90d014d04235a71e7dda88c5bfa6597b5158bbc746e7ae3f4,1.0,12.0,1093612.0,5.0,1.0,0.0,0.0,0.0,0.0,3101.0
174353,7,0,7b11104618d8caa65909eaac749c1a42594f3c891fe06212e04129dafb3e81f1,3.0,12.0,423885.0,3.0,1.0,0.0,0.0,0.0,0.0,10355.0
174255,7,0,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1.0,18.0,52869.0,3.0,1.0,0.0,0.0,0.0,0.0,55146.0
174539,7,0,661f075141af9d9fb9386b9daec8a869213a1e60ef8c46ab895ed958e560445c,1.0,4.0,154807.0,3.0,1.0,0.0,0.0,0.0,0.0,35492.0
174551,7,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,3.0,5.0,167773.0,2.0,1.0,0.0,0.0,0.0,0.0,8847.0
174984,8,0,fa81ef21a193bae90d014d04235a71e7dda88c5bfa6597b5158bbc746e7ae3f4,1.0,12.0,1093612.0,5.0,1.0,0.0,0.0,0.0,0.0,3103.0
174992,8,0,ec6a2d6c5e0a6cd0ca6e467035305ecc76592c4f1885a291fcf8c21e9d0d654f,1.0,17.0,224097.0,3.0,1.0,0.0,0.0,0.0,0.0,46384.0
175290,8,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,3.0,1.0,1279030.0,2.0,1.0,0.0,0.0,0.0,0.0,120531.0
174997,8,0,6913d22c4930e06ee54fb6336d3f78def2ccc5a9c58be629571bb6f89c9d04d2,1.0,19.0,10876.0,2.0,1.0,0.0,0.0,0.0,0.0,17550.0
175041,8,0,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3.0,17.0,24379.0,3.0,1.0,0.0,0.0,0.0,0.0,8067.0
